dataset,classifier,metric,mean,std
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",log_loss,2.1682979130640736,1.6899512656972355
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",macro_f1,0.6677413142413142,0.11017168516239997
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",mcc,0.648734288008416,0.10691181119793396
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",nb_knn_agreement_rate,0.82,0.13432961119739922
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",predict_time_per_sample_ms,0.3574636000012105,0.14470156134168705
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",selected_lambda,0.5,0.0
LED-display-domain-7digit,"DW-NB(k=30,λ=0.5)",weighted_f1,0.6667083416583417,0.10826431053599633
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",accuracy,0.6940000000000001,0.08329332372872256
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",auc_roc,0.9337498278343098,0.042031346063661226
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",balanced_accuracy,0.6941666666666666,0.09488866120191258
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",brier_score,0.5009460468155404,0.15988390170592578
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",ece,0.2490380706417655,0.07985083548073156
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",geometric_mean,0.6147549237108724,0.230169194129147
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",log_loss,3.1739904058176043,1.8704600002066412
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",macro_f1,0.6864314574314574,0.09322514802940468
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",mcc,0.6631855838792552,0.09289508246077521
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",nb_knn_agreement_rate,0.8119999999999999,0.11820885471627468
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",predict_time_per_sample_ms,0.26210039999932633,0.07899452948464174
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",selected_lambda,0.5,0.0
LED-display-domain-7digit,"DW-NB(k=5,λ=0.5)",weighted_f1,0.6890977688977689,0.08307488426335016
LED-display-domain-7digit,DW-NB(w1-only),accuracy,0.7,0.07542472332656504
LED-display-domain-7digit,DW-NB(w1-only),auc_roc,0.9282524913800353,0.03884501283325019
LED-display-domain-7digit,DW-NB(w1-only),balanced_accuracy,0.7024999999999999,0.08320823944244407
LED-display-domain-7digit,DW-NB(w1-only),brier_score,0.49299633925041003,0.14184931490995112
LED-display-domain-7digit,DW-NB(w1-only),ece,0.23058055653546478,0.07674355867805242
LED-display-domain-7digit,DW-NB(w1-only),geometric_mean,0.6132263765318724,0.2321690150981334
LED-display-domain-7digit,DW-NB(w1-only),log_loss,2.8065306102361314,1.5641498556850666
LED-display-domain-7digit,DW-NB(w1-only),macro_f1,0.6934174844763079,0.08457531387739145
LED-display-domain-7digit,DW-NB(w1-only),mcc,0.670562532907802,0.0828400359327849
LED-display-domain-7digit,DW-NB(w1-only),nb_knn_agreement_rate,0.8400000000000001,0.1339983416149452
LED-display-domain-7digit,DW-NB(w1-only),predict_time_per_sample_ms,0.33374879999610124,0.14784130101845103
LED-display-domain-7digit,DW-NB(w1-only),selected_lambda,0.5,0.0
LED-display-domain-7digit,DW-NB(w1-only),weighted_f1,0.6933010453598689,0.08042988841947404
LED-display-domain-7digit,DW-NB(w2-only),accuracy,0.692,0.08854377448471464
