dataset,classifier,fold,metric,value,fit_time,predict_time
iris,MultinomialNB,2,balanced_accuracy,0.8666666666666667,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,geometric_mean,0.8990187582825714,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,mcc,0.8,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,weighted_f1,0.8666666666666667,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,selected_lambda,,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,nb_knn_agreement_rate,,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,2,predict_time_per_sample_ms,0.018693333337675238,0.011164399999870511,0.00028040000006512855
iris,MultinomialNB,3,accuracy,0.7333333333333333,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,macro_f1,0.7222222222222222,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,auc_roc,0.8133333333333334,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,log_loss,0.8056345578524249,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,brier_score,0.48999724593065835,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,ece,0.2842626796869796,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,balanced_accuracy,0.7333333333333334,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,geometric_mean,0.7827771591182628,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,mcc,0.6166698388447784,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,weighted_f1,0.7222222222222221,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,selected_lambda,,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,nb_knn_agreement_rate,,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,3,predict_time_per_sample_ms,0.01764666667440906,0.0151623999995536,0.0002647000001161359
iris,MultinomialNB,4,accuracy,0.7333333333333333,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,macro_f1,0.7333333333333334,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,auc_roc,0.8333333333333334,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,log_loss,0.804779735143912,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,brier_score,0.4864355149309692,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,ece,0.28360880322867243,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,balanced_accuracy,0.7333333333333334,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,geometric_mean,0.7952135486850339,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,mcc,0.6,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,weighted_f1,0.7333333333333333,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,selected_lambda,,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,nb_knn_agreement_rate,,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,4,predict_time_per_sample_ms,0.017873333308671135,0.02073629999995319,0.00026809999963006703
iris,MultinomialNB,5,accuracy,0.8666666666666667,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,macro_f1,0.8611111111111112,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,auc_roc,0.8333333333333334,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,log_loss,0.8273473710892492,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,brier_score,0.5060951994825712,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,ece,0.42719761258815364,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,balanced_accuracy,0.8666666666666667,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,geometric_mean,0.8896746200804664,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,mcc,0.8222264517930379,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,weighted_f1,0.8611111111111112,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,selected_lambda,,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,nb_knn_agreement_rate,,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,5,predict_time_per_sample_ms,0.017826666680775816,0.007817899999736255,0.00026740000021163723
iris,MultinomialNB,6,accuracy,0.8,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,macro_f1,0.7802197802197802,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,auc_roc,0.84,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,log_loss,0.8089619625627744,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,brier_score,0.4917482330052915,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,ece,0.4061738866953158,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,balanced_accuracy,0.7999999999999999,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,geometric_mean,0.8230385195225839,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,mcc,0.7462025072446365,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,weighted_f1,0.7802197802197802,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,selected_lambda,,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,nb_knn_agreement_rate,,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,6,predict_time_per_sample_ms,0.018399999983860955,0.014099099999839382,0.00027599999975791434
iris,MultinomialNB,7,accuracy,0.8666666666666667,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,macro_f1,0.8666666666666667,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,auc_roc,0.8333333333333334,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,log_loss,0.8307679721911866,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,brier_score,0.508009405334096,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,ece,0.42978280348715203,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,balanced_accuracy,0.8666666666666667,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,geometric_mean,0.8990187582825714,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,mcc,0.8,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,weighted_f1,0.8666666666666667,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,selected_lambda,,0.010056599999643367,0.0002988999999615771
iris,MultinomialNB,7,nb_knn_agreement_rate,,0.010056599999643367,0.0002988999999615771
